Algorithm,Level,Time,Memory,Moves
Weighted A*,7,2.486968517303467,259.125,46
Weighted A*,7,3.6776340007781982,125.28125,46
Weighted A*,2,0.02248549461364746,121.44921875,23
Weighted A*,7,3.6377947330474854,125.6953125,46
Weighted A*,7,3.8312811851501465,125.91015625,46
Weighted A*,7,1.2245824337005615,124.01171875,46
Weighted A*,7,1.2441022396087646,124.125,46
Weighted A*,7,1.2576324939727783,123.65234375,46
Weighted A*,7,1.2099072933197021,123.890625,46
Weighted A*,7,1.1221871376037598,123.91796875,46
Weighted A*,7,1.1971666812896729,123.8671875,46
Weighted A*,7,1.2445075511932373,124.7109375,46
Bfs,1,0.0009999275207519531,57.6328125,6
Bfs,2,0.030602693557739258,58.2578125,23
Bfs,3,0.0009946823120117188,58.3359375,8
Bfs,4,0.2821354866027832,64.75390625,19
Bfs,5,0.09809088706970215,64.81640625,21
Dfs,1,0.0009996891021728516,64.81640625,8
Dfs,6,10.741915225982666,147.5078125,388
IDDfs,1,0.0010051727294921875,147.5078125,6
IDDfs,7,59.585177421569824,132.7578125,51
Bfs,1,0.001085519790649414,128.77734375,6
Bfs,3,0.0010004043579101562,56.00390625,8
Dfs,4,1.642763614654541,73.54296875,903
IDDfs,1,0.0009999275207519531,55.45703125,6
IDDfs,2,0.11769509315490723,56.42578125,23
A*,1,0.0009999275207519531,56.73828125,6
A*,3,0.0010082721710205078,56.73828125,8
A*,4,0.01633596420288086,57.14453125,19
Uniform,1,0.0030863285064697266,57.19140625,6
Uniform,2,0.7343213558197021,56.72265625,23
Greedy,4,0.010780096054077148,57.3359375,19
Greedy,5,0.0069141387939453125,57.50390625,21
Weighted A*,4,0.01059412956237793,57.5,19
Uniform,5,26.08868908882141,63.96484375,21
Greedy,3,0.0009436607360839844,63.98828125,10
Greedy,3,0.0,64.5,10
Weighted A*,3,0.000997781753540039,56.2421875,8
Weighted A*,4,0.010328054428100586,56.98046875,19
IDA*,3,0.003516674041748047,56.984375,8
